,year,id,oil_price,gas_price,gas_product,oil_product,population
0,1980,AGO,75.97401,5.689913502,9.105606768,7428000.0,7837252.0
1,1981,AGO,67.14143,6.409008439,8.49272939,7158000.0,8106397.0
2,1982,AGO,58.02282,6.56332173,8.405175478,6400000.0,8391507.0
3,1983,AGO,50.38642,5.775166667,8.755391123,8790000.0,8695822.0
4,1984,AGO,45.81844,5.424973629,9.018052857,10100000.0,8997752.0
5,1985,AGO,43.43477,5.097799578,9.105606768,11500000.0,9279230.0
6,1986,AGO,22.21579,4.36528903,9.280714591,13900000.0,9539828.0
7,1987,AGO,27.45986,3.06643038,9.630930236,17500000.0,9756271.0
8,1988,AGO,21.41834,2.703374473,9.674707191,22300000.0,10009071.0
9,1989,AGO,24.86816,2.587838608,9.806038058,22600000.0,10260595.0
10,1990,AGO,30.875,3.246745781,3.35910909,23400000.0,10527351.0
11,1991,AGO,24.95484,3.597694093,3.35910909,24500000.0,10848299.0
12,1992,AGO,23.38595,2.847906118,3.293564386,27200000.0,11209554.0
13,1993,AGO,20.01414,2.793740506,3.244406627,24800000.0,11571646.0
14,1994,AGO,18.26323,2.489883966,3.015004776,27400000.0,11924885.0
15,1995,AGO,19.09535,2.381257384,3.244406627,31200000.0,12287669.0
16,1996,AGO,22.48449,2.29275211,3.244406627,35400000.0,12594769.0
17,1997,AGO,20.3782,2.388709916,3.293564386,36500000.0,12903759.0
18,1998,AGO,13.61725,2.089648734,3.35910909,36000000.0,13180809.0
19,1999,AGO,18.55794,2.086514768,3.408265482,36700000.0,13493220.0
20,2000,AGO,28.50001,3.703765823,3.859376407,36400000.0,13833075.0
21,2001,AGO,23.698,3.844696203,46.83914768,37000000.0,14213087.0
22,2002,AGO,23.71533,3.56332173,55.41532965,44600000.0,14622400.0
23,2003,AGO,26.54107,5.920566456,45.51973507,44900000.0,15050911.0
24,2004,AGO,34.29882,6.070709916,51.45709182,52400000.0,15466855.0
25,2005,AGO,47.25731,9.00903903,56.07503596,62300000.0,15957534.0
26,2006,AGO,55.369,5.77772569,62.01239271,70400000.0,15919845.0
27,2007,AGO,60.11999161,5.77205776,71.31425161,86875235.97,17554585.0
28,2008,AGO,77.78562545,7.077590651,66.30048369,98638586.6,18020668.0
29,2009,AGO,49.50098024,3.125018062,66.63033684,94959049.36,18555115.0
30,2010,AGO,62.7780519,3.537880178,68.08169072,96538323.39,19081912.0
31,2011,AGO,85.17070839,3.023886476,70.80628056,88923698.71,19618432.0
32,2012,AGO,83.75446549,1.995052136,71.55834388,88497049.16,20820525.0
33,2013,AGO,80.31953005,2.740399897,70.95141408,91166744.99,21471618.0
34,1980,ALB,75.97401,5.689913502,2.749192813,1387000.0,2670028.0
35,1981,ALB,67.14143,6.409008439,2.863012897,1875000.0,2718369.0
36,1982,ALB,58.02282,6.56332173,3.081897675,1600000.0,2776547.0
37,1983,ALB,50.38642,5.775166667,3.467134885,1350000.0,2830618.0
38,1984,ALB,45.81844,5.424973629,3.712285836,1400000.0,2888865.0
39,1985,ALB,43.43477,5.097799578,3.458379494,1188000.0,2958438.0
