Date,Canada,France,Germany,Italy,Japan,Britain,America,WTI
2006/1/5,-52.84646778,-57.63818596,58.71090857,-37.97978281,41.57171387,1.327259821,95.5809789,-48.7264246
2006/1/6,48.2106288,-80.83783476,80.30678083,66.4882434,-88.16182181,-13.42653568,83.88493946,-96.46440024
2006/1/9,39.21213034,-68.2117944,121.7710926,-34.9149583,-62.52688143,-54.48744489,140.1966968,-81.03884069
2006/1/10,18.56887564,-45.43734387,83.56768971,-39.29451778,-40.63481612,-35.51344352,112.822718,-54.07916205
2006/1/11,9.930912844,-31.9228934,56.73231977,-32.56267451,-28.39449717,-24.84787537,89.443815,-38.37910716
2006/1/12,5.525581863,-24.63689217,43.04835582,-26.8582891,-21.96372983,-19.32170864,74.14540604,-29.93872398
2006/1/13,4.157291275,-19.62466244,31.4245179,-22.92446607,-17.34817313,-15.06794504,63.3292168,-23.9457793
2006/1/16,1.087295447,-15.53976549,25.07666669,-18.1477534,-14.3131731,-12.14841518,53.54526814,-19.56012311
2006/1/17,0.392711229,-13.02993251,20.32138169,-15.56115037,-12.20054121,-10.18691867,46.89263352,-16.62818368
2006/1/18,0.54799378,-10.27346489,13.96358512,-12.84641141,-9.640542174,-7.846456535,39.57627777,-13.48098167
2006/1/19,-2.051175257,-7.980053113,13.8350573,-9.174709634,-7.896842832,-6.493888299,30.88790547,-11.12629363
2006/1/20,-1.331507669,-6.686600038,10.12650865,-8.150400551,-6.627959912,-5.267060555,27.41801312,-9.480993045
2006/1/23,-1.019788689,-4.912841772,6.580384424,-6.183226645,-4.852173587,-3.734275895,21.70235299,-7.580430824
2006/1/24,-0.712090352,-3.821979594,4.418945284,-5.009445158,-3.790772731,-2.795972576,18.05245164,-6.341136516
2006/1/25,-0.035822383,-2.741529008,1.296546233,-4.069406831,-2.674061842,-1.765908146,15.11575708,-5.125575105
2006/1/26,0.718476045,-2.073159827,-1.469752618,-3.667135405,-2.14909085,-1.074711482,13.92769634,-4.212322199
2006/1/27,1.43708041,-1.966262397,-3.620740178,-3.90524537,-1.828531733,-0.800918679,14.54010619,-3.855488246
2006/1/30,1.393527178,-1.254559097,-4.427028382,-2.932535355,-1.166968425,-0.244993397,11.67378952,-3.041232042
2006/1/31,1.747233844,-0.607894871,-6.222238573,-2.246655873,-0.558198921,0.34186165,9.815214582,-2.269321837
2006/2/1,1.691298952,-0.20749497,-6.379232139,-1.593950012,-0.22269868,0.6407735,7.814338833,-1.743035483
2006/2/2,1.663126665,0.34008246,-6.635082306,-0.817852633,0.283050315,1.069582782,5.201482984,-1.104390268
2006/2/3,1.951316402,0.692090534,-7.94230558,-0.486214492,0.657735171,1.397208844,4.376344164,-0.646175042
2006/2/6,1.707490507,1.091978627,-7.871112588,0.096377209,1.006995656,1.681105831,2.483054213,-0.195889455
2006/2/7,2.084524421,1.442027941,-9.931298537,0.307852279,1.307104576,2.091953047,2.408049566,0.289786707
2006/2/8,2.22797508,1.716198678,-10.61002596,0.631734595,1.569530695,2.326363463,1.503350619,0.634872826
2006/2/9,2.438978248,1.963057273,-11.44407882,0.890867267,1.785760264,2.540880218,0.856625907,0.967909642
2006/2/10,2.52280749,2.185004801,-11.72086767,1.179925709,1.929002019,2.707805295,-0.039847296,1.23616965
2006/2/13,2.678791162,2.423996323,-12.99486097,1.345571069,2.193239614,2.956394394,-0.030022304,1.426890707
2006/2/14,2.87194548,2.558529476,-13.94330409,1.433127753,2.312859659,3.092437719,0.059706623,1.614697376
2006/2/15,3.013060935,2.695257266,-14.65480287,1.568696029,2.496263531,3.235985337,-0.127134293,1.772674066
2006/2/16,2.913806047,2.804077912,-14.56726215,1.738826265,2.520925079,3.305381567,-0.653336808,1.93758209
2006/2/17,2.869569495,2.858391046,-14.50027835,1.864836203,2.56749127,3.336061332,-1.061473569,2.065402572
2006/2/20,2.840364219,2.903164094,-13.82988742,2.057227765,2.711463606,3.363389096,-2.062248262,2.0165269
2006/2/21,2.873962224,2.916917444,-13.93467181,2.096921757,2.76266368,3.365128747,-2.175112761,2.09419072
2006/2/22,2.753440149,2.94425559,-13.2202141,2.22572233,2.777070181,3.329389308,-2.9464756,2.136812143
2006/2/23,2.701658484,2.954225895,-12.98806124,2.265612916,2.797541858,3.306908638,-3.223369783,2.185483232
2006/2/24,2.562266931,2.963940712,-12.24566638,2.393428085,2.794093609,3.273318053,-3.973590515,2.232209505
2006/2/27,2.528876748,2.945706116,-12.47544587,2.348527472,2.794869232,3.258890708,-3.665829112,2.264404711
2006/2/28,2.461878609,2.894296077,-11.90679916,2.344537093,2.738776941,3.199592812,-3.985010742,2.252728366
2006/3/1,2.42308608,2.864496521,-11.86399635,2.3545509,2.729971896,3.16647847,-3.933365747,2.258778234
2006/3/2,2.282416263,2.871440475,-11.65367054,2.397174241,2.722496057,3.140856429,-4.046697724,2.285984793
2006/3/3,2.243607886,2.864040759,-11.54492369,2.414217341,2.69765975,3.115717487,-4.036772915,2.24645338
2006/3/6,2.255734466,2.811269728,-11.48963461,2.352545066,2.655049727,3.054316818,-3.827660075,2.188378881
2006/3/7,2.209748875,2.762440307,-11.1690292,2.337889605,2.617222368,2.989264889,-3.908169255,2.160632407
2006/3/8,2.184214377,2.707409477,-11.07697443,2.279854702,2.536497309,2.927768698,-3.64211016,2.083340021
2006/3/9,2.130902877,2.63832149,-10.75832987,2.231059269,2.474601579,2.846404931,-3.607205002,2.044244731
2006/3/10,2.145060319,2.573088355,-10.88230495,2.144340118,2.428930874,2.779316639,-3.205774962,2.01734361
2006/3/13,2.118244457,2.506978495,-10.73325242,2.080845032,2.346253741,2.708823141,-3.006934024,1.979041575
2006/3/14,2.073384473,2.44169159,-10.51533037,2.028897051,2.290510232,2.635250061,-2.894319511,1.939916473
2006/3/15,2.011383877,2.382342551,-10.27938858,1.979192966,2.199728211,2.569243019,-2.766594092,1.904092053
2006/3/16,1.959320042,2.336646996,-9.93265627,1.960549005,2.135823534,2.509510056,-2.80301173,1.833818367
2006/3/17,1.81677995,2.288741165,-9.159952845,1.959007551,2.056541304,2.437050814,-3.16302266,1.764854721
2006/3/20,1.740139839,2.221511916,-8.988610366,1.89057932,1.988977347,2.371005384,-2.948319564,1.724716125
2006/3/21,1.693503951,2.16284208,-8.704061337,1.847750119,1.939431808,2.303374749,-2.912024483,1.669183113
2006/3/22,1.696631507,2.122131078,-8.7614103,1.817035666,1.913909071,2.26691547,-2.697043642,1.64183115
2006/3/23,1.626287638,2.051169867,-8.317267127,1.75163484,1.854791322,2.182568613,-2.737451664,1.588266511
2006/3/24,1.588111969,2.030973218,-8.105036601,1.757080668,1.843855158,2.149531061,-2.809372027,1.544856553
2006/3/27,1.531107305,1.936251267,-7.895300845,1.640430349,1.796533054,2.065135566,-2.593975505,1.519818808
2006/3/28,1.485298486,1.894001552,-7.626821996,1.60507682,1.750622114,2.013744183,-2.55240307,1.430481911
2006/3/29,1.4002794,1.854943125,-7.253282786,1.59140776,1.715716663,1.965474929,-2.629735251,1.355196159
2006/3/30,1.311427124,1.786192302,-6.824099401,1.542637291,1.651152754,1.878972116,-2.657931858,1.311649672
2006/3/31,1.274750971,1.757305968,-6.914249257,1.496648488,1.631848705,1.852695585,-2.382398226,1.283397766
2006/4/3,1.226219718,1.689940352,-6.567889541,1.445646725,1.538060471,1.777996599,-2.35087701,1.240902686
2006/4/4,1.150397827,1.623347775,-6.255222131,1.393342829,1.470436174,1.721996895,-2.314176149,1.20987678
2006/4/5,1.103599026,1.605297988,-5.905492036,1.391436135,1.443906576,1.690421463,-2.50720094,1.178031789
2006/4/6,1.067781764,1.544541291,-5.683005649,1.337464163,1.382764443,1.627422168,-2.404786019,1.127817839
2006/4/7,1.088744207,1.553154107,-5.795936897,1.351815254,1.380681452,1.620012068,-2.296067586,1.097597395
2006/4/10,1.106806983,1.545409152,-5.942621216,1.305443428,1.369084835,1.601562544,-2.063870458,1.078184733
2006/4/11,1.071595356,1.497057724,-5.867958241,1.24660101,1.345655817,1.571674884,-1.91281568,1.048189129
2006/4/12,1.038858271,1.449349649,-5.595618225,1.218769107,1.309574623,1.525191037,-1.92173774,0.975613277
2006/4/13,1.076253134,1.423175761,-5.587790982,1.18349821,1.196443587,1.513869596,-1.779145293,0.973695988
2006/4/14,1.062190013,1.382261425,-5.516515909,1.157443967,1.162915311,1.479281765,-1.678367309,0.950790737
2006/4/17,0.998767336,1.333305757,-5.202326525,1.113068554,1.123532204,1.420232901,-1.704801305,0.918221078
2006/4/18,0.960657676,1.292253975,-4.934917719,1.072637953,1.082373054,1.36716666,-1.719487825,0.879316226
2006/4/19,0.970944236,1.305727241,-5.326453601,1.087703204,1.118329103,1.395465886,-1.490104026,0.938387957
2006/4/20,0.887445473,1.301559186,-5.078589476,1.06254038,1.040674563,1.379913879,-1.456924525,0.863380519
2006/4/21,0.834981839,1.25270718,-4.884022172,1.024853383,1.004160336,1.32934186,-1.397153931,0.835131505
2006/4/24,0.797471259,1.208160015,-4.635931594,0.933399625,0.970038043,1.277129715,-1.360911553,0.81064449
2006/4/25,0.790124655,1.186037459,-4.65989651,0.947967587,0.989503462,1.253475444,-1.341978402,0.834766306
2006/4/26,0.713896893,1.171151482,-4.505226682,0.937139938,0.971302239,1.233647096,-1.324994512,0.803083545
2006/4/27,0.687556998,1.133664601,-4.376638522,0.867403234,0.934639098,1.193695735,-1.216381172,0.776060027
2006/4/28,0.742362518,1.145967142,-4.641854471,0.885995183,1.052426166,1.194783397,-1.240252493,0.860572559
2006/5/1,0.724726182,1.116886779,-4.534930862,0.850382594,1.017822836,1.163022258,-1.139762925,0.801853138
