Date,America,France,Britain,Italy,China,Germany
2015/10/9,0.407298963,-4.147179094,3.855386367,-8.303068861,19.26509684,-11.07753422
2015/10/12,0.968218301,30.18187978,29.02104757,-48.19291427,11.85270118,-23.83093257
2015/10/13,2.012007703,27.36320461,25.99908819,-40.10169013,8.103970557,-23.37658094
2015/10/14,1.597963615,25.43904791,24.40862012,-33.56025561,7.354164938,-25.23954098
2015/10/15,2.284988553,24.14547728,23.13284343,-29.13093907,6.738910536,-27.17128074
2015/10/16,0.111211135,22.14231041,21.47481528,-24.09773089,6.702555311,-26.33316124
2015/10/19,-4.774031751,19.76732025,22.05284953,-16.38587232,2.757078942,-23.41734465
2015/10/20,-15.84872277,8.641883151,10.50563913,-10.62264614,1.612250761,5.71159586
2015/10/21,-12.36925358,9.788355186,11.02583359,-9.806129185,2.399192092,-1.037998099
2015/10/22,-14.24810253,8.544935563,9.991018539,-7.489398011,3.268633102,-0.06708666
2015/10/23,-16.28235413,4.296220403,4.461003906,-1.149847929,-4.623264706,13.29824245
2015/10/26,1.488146421,10.82108208,8.526946924,-10.83763436,-9.713217885,-0.28532318
2015/10/27,-17.49982145,6.681416474,5.728496372,-1.337756085,-5.101079812,11.5287445
2015/10/28,-11.70742963,6.855649927,6.319830085,-2.920983105,-8.019278766,9.472211486
2015/10/29,-10.10333661,11.73492524,9.436697319,-5.95661309,-1.814126384,-3.297546478
2015/10/30,-13.70328065,9.977844676,8.631492409,-4.644084586,3.782510005,-4.044481858
2015/11/2,-15.89132406,7.781471483,6.205817229,-0.73246641,-0.82689513,3.463396886
2015/11/3,-17.13930751,6.775121493,5.992862788,-0.200851473,-0.694349485,5.266524181
2015/11/4,-17.74978869,6.486994451,5.62690217,0.65128933,-0.427227594,5.411830333
2015/11/5,-22.03577633,7.957244867,7.146991693,1.093392582,1.911287221,3.926859962
2015/11/6,-18.10480865,8.764138982,7.86758155,-2.090957044,4.693292034,-1.129246869
2015/11/9,-18.1287395,9.133231112,7.980405746,-1.589803894,3.676979634,-1.072073093
2015/11/10,-21.12886931,7.546597195,7.206433846,1.384780825,2.059667759,2.931389685
2015/11/11,-17.6720374,8.396021328,7.687272732,-1.219325689,3.439363454,-0.631294421
2015/11/12,-17.36201897,8.795868871,8.566432066,-1.744575583,3.800913476,-2.056619856
2015/11/13,-25.57932188,8.324024924,8.737022896,3.714499897,2.027233963,2.776540202
2015/11/16,-27.12712577,8.711442383,9.693833742,4.107071162,2.32671899,2.288059489
2015/11/17,-26.39526539,9.259660843,9.919017261,3.991731965,1.699942173,1.524913144
2015/11/18,-24.14503576,9.472915928,10.45405077,3.416254608,1.158809689,-0.356995229
2015/11/19,-15.17957038,10.40062595,10.60931795,-0.987250551,1.564780503,-6.40790347
2015/11/20,-23.5637821,5.189280965,6.272852127,4.826974237,-0.818153685,8.092828456
2015/11/23,-26.95962353,4.373567284,5.112892323,8.512015598,-3.889942747,12.85109107
2015/11/24,-19.54500061,5.194107377,5.498550415,4.802432514,-2.680808756,6.730719063
