Date,stock,gas,oil,coal
2015/10/9,-3.568323854,0.55799445,-2.037329581,5.047658984
2015/10/12,3.152078317,-2.485127885,-5.106552219,4.439601787
2015/10/13,3.51872534,-1.984886466,-6.009563727,4.475724853
2015/10/14,6.163113289,-4.434062812,-10.0713393,8.342288824
2015/10/15,6.107860797,-2.602417915,-17.42751542,13.92207254
2015/10/16,3.419036508,-3.053427542,-15.99707322,15.63146425
2015/10/19,-0.247369435,-6.009244732,-8.502269985,14.75888415
2015/10/20,2.001383476,-9.685588145,-9.127714897,16.81191957
2015/10/21,5.092795019,-9.514017648,-14.6725935,19.09381613
2015/10/22,3.770604718,-9.521076439,-14.58332971,20.33380143
2015/10/23,1.82869667,-8.708543947,-12.63958968,19.51943696
2015/10/26,7.089175353,-9.890807722,-20.11600943,22.9176418
2015/10/27,6.917383542,-11.30321998,-19.68857937,24.0744158
2015/10/28,6.495439681,-10.85719024,-20.60951653,24.97126709
2015/10/29,2.827507706,-10.39732029,-17.54501597,25.11482855
2015/10/30,0.930075753,-9.71820832,-16.0467497,24.83488227
2015/11/2,2.982211085,-10.38420329,-19.49279986,26.89479206
2015/11/3,9.851549128,-12.42366899,-27.49931488,30.07143474
2015/11/4,10.35281517,-12.50668312,-28.45747361,30.61134157
2015/11/5,3.280263314,-13.55681907,-19.27530373,29.55185949
2015/11/6,1.549834025,-13.71756548,-16.8431328,29.01086425
2015/11/9,2.300382781,-13.88289868,-18.17955743,29.76207333
2015/11/10,3.018596968,-18.05761331,-15.65426114,30.69327748
2015/11/11,6.311180127,-20.93695161,-17.7792155,32.40498698
2015/11/12,3.227250767,-19.69930054,-14.02911943,30.50116921
2015/11/13,5.75863617,-20.83815304,-16.48164218,31.56115905
2015/11/16,10.81380051,-25.35824731,-20.71365657,35.25810337
2015/11/17,6.591600309,-25.84113217,-16.12376526,35.37329712
2015/11/18,4.502120479,-24.11045782,-15.97271506,35.5810524
2015/11/19,5.877727983,-26.99382891,-15.59813557,36.7142365
2015/11/20,9.820547027,-32.50640364,-16.54942609,39.23528271
2015/11/23,10.35104166,-32.74691064,-17.07076614,39.46663511
2015/11/24,10.91668514,-33.42473281,-16.57257396,39.08062164
2015/11/25,9.944096318,-31.93625785,-16.36432562,38.35648716
2015/11/27,10.42015259,-31.75141094,-16.41642597,37.74768432
2015/11/30,8.212467165,-30.55572257,-13.98390685,36.32716225
2015/12/1,13.00574794,-34.05149916,-17.50739658,38.5531478
2015/12/2,14.39203576,-33.90664443,-19.37194292,38.8865516
2015/12/3,14.84533102,-33.18700412,-20.25299432,38.59466742
2015/12/4,12.43440336,-32.50688684,-19.07998808,39.15247156
2015/12/7,10.91212226,-33.20244773,-16.92926777,39.21959324
2015/12/8,14.70773145,-37.91922994,-17.57619698,40.78769547
2015/12/9,14.27328988,-38.16581771,-16.79122422,40.68375205
2015/12/10,12.21048841,-38.67339449,-14.84378836,41.30669444
2015/12/11,12.15584516,-39.47228178,-14.39495747,41.71139409
2015/12/14,12.59734082,-38.93941231,-13.9296345,40.27170599
2015/12/15,14.6408001,-39.01775784,-15.37057081,39.74752855
2015/12/16,13.55336604,-37.99052166,-15.12553978,39.56269539
2015/12/17,14.10053312,-37.91642016,-14.95224714,38.76813418
2015/12/18,12.76163455,-36.41158436,-13.85918199,37.5091318
2015/12/21,15.8559933,-37.15359078,-16.75545118,38.05304865
2015/12/22,18.88934389,-36.92302798,-20.01148899,38.04517308
2015/12/23,20.00198971,-36.60401028,-21.27185395,37.87387451
2015/12/24,21.17749683,-35.57314023,-22.87498735,37.27063075
2015/12/28,21.63810994,-35.63288943,-22.73372899,36.72850848
2015/12/29,23.13241786,-35.64762091,-22.26062645,34.77582951
2015/12/30,23.32108207,-34.94927921,-22.91140534,34.53960248
2015/12/31,24.19607041,-33.00414945,-24.19717371,33.00525275
2016/1/4,24.19749942,-33.04850203,-24.09872759,32.9497302
2016/1/5,25.08214082,-32.76586849,-24.81703516,32.50076283
2016/1/6,23.91164444,-40.01296867,-20.90949368,37.01081791
2016/1/7,22.47705278,-40.5346416,-19.94911895,38.00670777
2016/1/8,21.05432284,-39.79568571,-19.34064396,38.08200683
2016/1/11,14.27641015,-31.81857458,-18.4565874,35.99875183
2016/1/12,8.303657723,-21.55722446,-16.55024927,29.80381601
2016/1/13,3.120435041,-17.29333202,-14.67775268,28.85064966
2016/1/14,3.85243455,-15.75410724,-13.62126193,25.52293462
2016/1/15,-0.190320647,-11.3953281,-13.58579231,25.17144105
2016/1/19,-1.039155682,-8.400189013,-15.28528274,24.72462744
2016/1/20,-1.406516433,-7.500477896,-15.61101692,24.51801125
2016/1/21,-2.239208656,-0.618607744,-17.92742752,20.78524392
2016/1/22,-1.186974809,-3.177078026,-17.52658887,21.89064171
2016/1/25,-1.153977232,-0.7745914,-19.08311881,21.01168744
2016/1/26,-0.756116522,-1.149406625,-17.72409651,19.62961966
2016/1/27,-1.38972419,-1.442941231,-15.37069681,18.20336223
2016/1/28,-1.425406652,-1.399679919,-15.52467611,18.34976268
2016/1/29,-0.129922789,-1.106328305,-15.46771429,16.70396539
2016/2/1,0.102713179,-0.751623071,-14.40715969,15.05606958
2016/2/2,1.855416938,-0.916457624,-16.58840679,15.64944748
2016/2/3,0.8013753,-1.555614,-15.38765135,16.14189005
2016/2/4,0.43212384,-1.575835818,-14.23817955,15.38189153
2016/2/5,-1.505034554,-0.771528698,-10.08195577,12.35851902
2016/2/8,0.09153591,-1.200867935,-12.31969065,13.42902268
2016/2/9,1.417178819,-2.327097806,-11.78595985,12.69587884
2016/2/10,1.140756256,-2.016295099,-11.65306953,12.52860837
