Date,Canada_France,Canada_Germany,Canada_Italy,Canada_Japan,Canada_Britain,Canada_America,Canada_WTI,France_Germany,France_Italy,France_Japan,France_Britain,France_America,France_WTI,Germany_Italy,Germany_Japan,Germany_Britain,Germany_America,Germany_WTI,Italy_Japan,Italy_Britain,Italy_America,Italy_WTI,Japan_Britain,Japan_America,Japan_WTI,Britain_America,Britain_WTI,America_WTI
2006/1/5,0.280982445,1.069505301,5.321431076,21.2030723,15.80194972,18.04630483,-8.8767779,16.48347527,-6.298915087,14.78364613,11.29834602,26.76000124,-5.107385156,-7.585431455,-9.978188242,-11.70976748,-9.59419848,-2.290342344,8.681967851,8.076307435,26.05213647,-13.39354441,-8.617734859,3.859696787,-2.123177757,26.28177474,-12.75993373,-4.17526331
2006/1/6,-15.5128398,3.44278219,2.514319476,-16.76884236,-7.473547746,4.319310978,-18.73181154,20.88577394,18.68171095,-1.002778839,8.550087771,21.07796592,-2.867764778,-2.231799742,-21.69503994,-11.87857659,0.313088785,-20.48589721,-18.96617228,-9.972827987,2.404541898,-20.98955435,8.797837303,21.47794799,-0.546796896,12.56162336,-11.11211493,-21.73046053
2006/1/9,-15.33860565,13.07640101,-9.802573627,-14.32415881,-12.98429986,16.22841965,-16.06731305,22.62358293,-2.742749683,3.033809675,3.368115455,26.44839772,0.142032644,-8.098015341,-26.07145047,-24.08645194,-0.256349683,-27.55884121,3.019332712,4.0128413,11.89160533,-4.652159696,0.356160412,28.62678639,-0.798532264,26.93005646,-1.776246205,-30.32778091
2006/1/10,-10.87549183,12.93121063,-10.31242731,-10.3297537,-8.429854302,18.60469839,-10.15725753,14.66673121,-4.951137721,2.043357477,2.842914138,20.6259142,-0.665927262,-2.483669644,-16.00135091,-17.72859262,-1.281021641,-18.47511305,6.391543077,6.187788126,8.343785119,0.624166785,1.202035542,22.3457502,-0.809173673,22.2346588,-2.64692439,-21.94893293
2006/1/11,-8.15060485,10.6329071,-9.317478438,-7.538365052,-5.983032461,17.70602866,-7.280367808,9.218527853,-4.406902606,1.686247311,2.157669107,16.21749077,-1.100743881,0.393931786,-10.72627453,-12.2981702,-2.567837602,-11.68253427,5.751224848,5.514957088,6.695760568,1.270282744,0.78794452,18.25122257,-1.471837342,17.69068631,-2.663442881,-15.45046372
2006/1/12,-6.548146906,8.640300838,-8.194078327,-6.061570951,-4.631093486,16.8788748,-5.609867829,6.455450307,-3.697356487,1.351908767,1.685473883,13.44946657,-1.156197779,1.105616334,-7.513389077,-9.187551383,-3.806292163,-8.550988384,4.922786508,4.605664776,5.527753423,1.016265908,0.631158867,15.4718256,-1.43951939,14.76734539,-2.341984088,-11.85643241
2006/1/13,-5.293346289,6.360539154,-7.243266712,-4.757868146,-3.603629621,14.98657503,-4.606294696,4.37891263,-3.134838976,1.16240206,1.351118768,11.66021958,-1.086497906,1.923384249,-5.417719366,-6.691746589,-4.522876489,-5.976107922,4.214668766,3.918046045,5.377491048,0.959538772,0.426700574,13.54329152,-1.420335656,12.54181829,-2.073384075,-9.742697813
2006/1/16,-4.12938801,5.343127494,-6.113168311,-3.408223824,-2.730374927,13.77714558,-3.826413443,2.817803461,-2.578935158,1.076133989,1.045164988,10.09417763,-1.043967438,2.842038552,-4.461676965,-4.907234217,-6.288196395,-4.100666706,3.510646772,3.212954367,4.803937125,0.770150217,0.169406317,12.26747039,-1.406823632,10.75384155,-1.81550984,-8.136892269
2006/1/17,-3.46620002,4.141313573,-5.363251854,-2.734606264,-2.2482763,12.52642982,-3.248120181,1.874102443,-2.212392773,0.978551083,0.864206829,8.988706665,-0.929441756,3.020050396,-3.583510459,-3.712178004,-6.911571997,-3.118755614,3.049520377,2.750526348,4.544484907,0.661024505,0.056112646,11.13388847,-1.279505172,9.466996231,-1.569686042,-7.143699425
2006/1/18,-2.883747791,2.801560386,-4.704709749,-2.277116558,-1.794589444,10.98274546,-2.672136085,0.656387696,-1.910710707,0.71464616,0.737848995,7.968316939,-0.776771982,3.69467216,-1.760375523,-2.427528636,-7.932702277,-2.079702761,2.553974546,2.374795482,4.40363711,0.593255972,0.188609614,9.612996843,-0.92993566,8.251897883,-1.326305336,-6.289385817
2006/1/19,-2.288226769,2.590148196,-3.967213849,-1.830039502,-1.335237348,11.0865569,-2.204812368,-0.048658126,-1.59749717,0.589323984,0.610854025,6.851753169,-0.713949537,4.192310464,-0.859208264,-1.740562711,-11.56048467,-1.325622053,2.183569507,1.987237816,3.175215029,0.456286726,0.180215246,8.611167641,-0.81089433,7.358897796,-1.162502469,-5.3647996
2006/1/20,-1.982119658,1.673427967,-3.547677633,-1.559670971,-1.130382315,9.779138754,-1.901208475,-0.540185003,-1.420130963,0.525937262,0.531136794,6.236923712,-0.629201422,4.183077706,-0.341531545,-1.045264466,-10.99609308,-0.793454298,1.932928579,1.763529894,3.251928161,0.417283027,0.137228301,7.771583367,-0.72318843,6.542722163,-1.0194134,-4.831810047
2006/1/23,-1.620189375,0.90413053,-3.076210056,-1.308416008,-0.86467042,8.5810233,-1.595879283,-1.283567281,-1.237554425,0.418863723,0.458736108,5.486026251,-0.549851979,4.706354939,0.680436489,-0.232772474,-12.0849415,-0.028898629,1.66915675,1.540095664,2.98944913,0.377115558,0.158081561,6.763872003,-0.609739022,5.687863799,-0.894117466,-4.279060005
2006/1/24,-1.410924929,0.382709789,-2.74858825,-1.141120952,-0.725972923,7.737327567,-1.381339951,-1.651693992,-1.099788354,0.363402928,0.407792898,4.883406815,-0.49206563,4.758332727,1.155887971,0.231193623,-12.15151709,0.318173287,1.486990595,1.369577085,2.739602835,0.323230767,0.15202467,6.038641467,-0.534732863,5.02590974,-0.795321812,-3.779080315
2006/1/25,-1.21096896,-0.226823233,-2.438926968,-0.971668001,-0.59618609,6.675102331,-1.194706696,-2.020952267,-0.978062433,0.308935851,0.359684343,4.304904712,-0.443950158,4.780039239,1.629110073,0.722408456,-11.36495333,0.689073834,1.314747392,1.216115306,2.625132608,0.276461363,0.148668632,5.273181236,-0.466662713,4.323850415,-0.707251622,-3.278539114
2006/1/26,-1.071410064,-0.804857975,-2.196163893,-0.902171573,-0.514196501,5.79330099,-1.022977028,-2.142968981,-0.885352094,0.229335501,0.322619384,3.877867427,-0.399751474,4.495536569,1.911689174,1.001371079,-9.648831963,0.762160801,1.162157205,1.094233835,2.604663342,0.220101605,0.17508928,4.716455025,-0.341443148,3.793558433,-0.639729874,-2.790683081
2006/1/27,-0.989231074,-1.449253055,-2.032024566,-0.852276359,-0.470000647,5.260742455,-0.905037165,-1.992161504,-0.823161572,0.211457241,0.300319157,3.648254524,-0.367676524,3.872958776,1.990496003,1.102004918,-7.439335873,0.653201796,1.096804792,1.01622357,2.627892017,0.182097629,0.163002553,4.421771301,-0.309760445,3.501434371,-0.588966141,-2.519347397
2006/1/30,-0.861978278,-1.622917343,-1.8270008,-0.75369673,-0.388329813,4.855818921,-0.795423135,-2.200140562,-0.745754732,0.186545137,0.270016564,3.222887933,-0.34097352,3.983177142,2.241904209,1.348282129,-7.885422435,0.916029432,0.994968639,0.919178894,2.271026431,0.157783001,0.153368133,3.958401097,-0.27507955,3.085988423,-0.53847912,-2.165089151
2006/1/31,-0.765071629,-1.8515538,-1.65600754,-0.663816525,-0.330463587,4.222708472,-0.703029236,-2.404113052,-0.676193806,0.168538173,0.245359544,2.82137496,-0.312142577,4.045304124,2.426411596,1.604353573,-7.268209388,1.158711816,0.898022279,0.834847327,2.087108509,0.139780538,0.144032404,3.491883708,-0.248561668,2.646077874,-0.489810263,-1.814270447
2006/2/1,-0.696883648,-2.044089407,-1.511458331,-0.62438079,-0.288952127,4.089979272,-0.61551392,-2.442637656,-0.611755899,0.141618742,0.227428509,2.477520856,-0.281563229,3.898976362,2.541221713,1.713557626,-7.488458021,1.227207395,0.813540633,0.757860143,1.683289976,0.115021392,0.14781517,3.160500401,-0.213616591,2.359971378,-0.443035558,-1.531534972
2006/2/2,-0.62125154,-2.074434352,-1.383828781,-0.555038697,-0.243174532,3.768249071,-0.553647835,-2.5975482,-0.562865361,0.127081147,0.207443881,2.124126752,-0.259572218,4.041894804,2.690123191,1.884847749,-8.114659703,1.460893714,0.74729544,0.695922458,1.361303415,0.10853198,0.13753743,2.785751261,-0.196877925,2.022317013,-0.409322809,-1.254395175
2006/2/3,-0.56087508,-2.297269101,-1.272754542,-0.504929479,-0.210537799,3.38685298,-0.49180338,-2.669944842,-0.520136737,0.114303196,0.190911657,1.869347621,-0.237446509,3.956343672,2.800615463,2.021349501,-7.371411598,1.568194598,0.691110316,0.642504329,1.216341006,0.099711234,0.130017737,2.488762811,-0.175416223,1.751388594,-0.374352012,-1.03506275
2006/2/6,-0.470375211,-2.309741222,-1.142558489,-0.4255518,-0.154404782,3.217245618,-0.422104621,-2.721611841,-0.481072866,0.103477144,0.172824184,1.584172037,-0.220142496,3.940708729,2.86482263,2.099163427,-7.728458518,1.663523257,0.638209097,0.589303617,0.905729591,0.087457861,0.121523269,2.209836448,-0.157398303,1.492566024,-0.34526214,-0.801963014
2006/2/7,-0.402356404,-2.470952214,-1.024737503,-0.414451914,-0.108481291,2.687453559,-0.350998655,-2.804115762,-0.442546666,0.092833064,0.16222591,1.347140035,-0.199920926,3.862152438,2.900891464,2.245294644,-6.126241346,1.774133361,0.57130396,0.544925006,0.892632207,0.078154817,0.12005072,1.844831381,-0.121410102,1.188511082,-0.316449139,-0.57372265
2006/2/8,-0.363758279,-2.573406918,-0.945081936,-0.377077126,-0.088187847,2.431041444,-0.311504419,-2.855131375,-0.410895563,0.081524238,0.150325499,1.139372796,-0.185152551,3.814751268,2.967344571,2.329537529,-5.781612657,1.851466951,0.523413585,0.504723978,0.727490034,0.071411577,0.118667619,1.608704777,-0.101697823,0.980151563,-0.291448247,-0.398202663
2006/2/9,-0.328757817,-2.671591712,-0.865819255,-0.345324375,-0.07478215,2.12127296,-0.273975899,-2.882003547,-0.377514829,0.073734935,0.136665266,0.928368846,-0.171065761,3.726100157,2.981205607,2.402548298,-5.141012064,1.921641564,0.477310748,0.462217704,0.589531513,0.06283884,0.10990613,1.370650992,-0.079390472,0.762889892,-0.267214861,-0.224923768
2006/2/10,-0.29796213,-2.682320131,-0.802231754,-0.318787314,-0.063096266,1.891797079,-0.250206974,-2.90220649,-0.351545962,0.060601123,0.124625192,0.746266543,-0.160707337,3.70111044,2.973614233,2.446556717,-4.972688386,1.987748044,0.436279783,0.427955283,0.445394136,0.057777813,0.106458896,1.176261321,-0.060014412,0.584839696,-0.250145168,-0.088282317
2006/2/13,-0.243774137,-2.782313374,-0.718247726,-0.261727519,-0.02989977,1.585285112,-0.228113747,-2.929411577,-0.325640147,0.050916051,0.116274903,0.582629723,-0.162539413,3.612980042,3.011122604,2.514936241,-3.878799174,2.022896303,0.397270111,0.39667402,0.391934633,0.037642335,0.106063368,0.957638584,-0.059360319,0.389843566,-0.242189199,0.058554747
2006/2/14,-0.214571385,-2.871715046,-0.661935729,-0.231384004,-0.017196218,1.33143308,-0.206576176,-2.930815343,-0.304382208,0.040414606,0.107956398,0.466730156,-0.15300447,3.524426264,3.019123317,2.558381779,-3.034486566,2.073328904,0.362252966,0.370902945,0.357913447,0.033911215,0.106567323,0.811224709,-0.040244806,0.262646979,-0.228472472,0.135755182
2006/2/15,-0.191785389,-2.896074663,-0.60982585,-0.203442956,-0.004377091,1.083277482,-0.190832468,-2.932619583,-0.283411989,0.037258334,0.101868657,0.337104558,-0.147242631,3.469874602,3.023058156,2.588215405,-2.361879217,2.106839678,0.334999513,0.346254473,0.298768469,0.027918279,0.101179844,0.633683912,-0.03925424,0.114973117,-0.217817166,0.233062614
2006/2/16,-0.156266947,-2.854019255,-0.553981414,-0.150789417,0.013312502,0.957136875,-0.169198391,-2.895369977,-0.265090735,0.0272751,0.093413622,0.218674893,-0.139247763,3.395104388,2.966009944,2.571894937,-2.228775509,2.113639161,0.30070968,0.321968019,0.191177065,0.023351209,0.106694772,0.523899517,-0.008314061,0.006448811,-0.204546525,0.321898461
