Date,stock_gas,stock_oil,stock_coal,gas_oil,gas_coal,oil_coal
2015/10/9,3.270771161,-3.867082871,4.164635564,1.533623323,1.179153388,-0.296129967
2015/10/12,-0.321988841,-3.66210759,0.832018114,0.906498412,1.256640633,2.35094304
2015/10/13,-0.144951538,-4.178838183,0.805064381,0.799466322,1.040468606,2.630191866
2015/10/14,-2.548433424,-4.856196622,1.241516757,-1.358690126,3.244319514,3.856452553
2015/10/15,-4.462276459,-4.904905198,3.25932086,-6.569163084,4.70930454,5.953447142
2015/10/16,-2.868992787,-4.847596563,4.297552842,-4.415953758,4.600388513,6.733522896
2015/10/19,-0.013170477,-4.557629017,4.81816893,2.264972902,3.731101353,6.20961387
2015/10/20,-2.610302888,-4.555996285,5.164915697,1.616743311,5.458541946,6.188461923
2015/10/21,-5.386452325,-5.216516352,5.510173658,-2.67451928,6.802084603,6.781557869
2015/10/22,-5.080355747,-5.116189561,6.42594059,-2.363779297,6.804499989,7.103360852
2015/10/23,-3.400839171,-5.063782283,6.635924784,-0.608992641,5.916697416,6.966814759
2015/10/26,-8.673374922,-5.636421817,7.220621386,-6.968756833,8.186189633,7.510830784
2015/10/27,-9.317843224,-5.345624222,7.746083904,-6.938154722,8.923531477,7.404800423
2015/10/28,-9.584883773,-5.241440041,8.330884132,-7.690158674,8.962465139,7.677917818
2015/10/29,-7.157754289,-4.778935257,9.109181841,-5.155730782,8.395296785,7.610349927
2015/10/30,-5.646220809,-4.681032608,9.397177663,-3.717693033,7.789680543,7.64802406
2015/11/2,-8.453569335,-4.787243861,10.25860211,-6.98113744,8.911771398,7.724418554
2015/11/3,-15.44446555,-5.158693818,10.75161024,-13.84400558,10.82320902,8.496615478
2015/11/4,-15.75241332,-5.332916696,10.73251485,-14.19971495,10.95398475,8.924841963
2015/11/5,-9.215566755,-4.678644789,10.61394823,-5.89193301,10.23318533,8.704725932
2015/11/6,-8.222488496,-4.69252806,11.36518253,-4.210886663,9.705963651,7.939718073
2015/11/9,-8.994862116,-4.747485906,11.44196524,-5.301730019,10.18976658,8.130341503
2015/11/10,-9.881627394,-4.921192887,11.78422331,-2.853675616,11.02966153,7.879392633
2015/11/11,-13.17181367,-5.034644152,11.8952777,-4.841227987,12.60636592,7.903343359
2015/11/12,-9.858262048,-4.791300056,11.42231134,-1.52350628,11.36454477,7.714313097
2015/11/13,-12.43583001,-4.964930423,11.64212426,-3.952622636,12.35494567,7.564089123
2015/11/16,-17.9823249,-5.008225647,12.17675003,-7.561738469,14.93766088,8.143692455
2015/11/17,-13.75978513,-4.924298484,12.0924833,-2.320066358,14.4014134,8.879400415
2015/11/18,-11.94960498,-4.877118249,12.32460276,-1.739525587,13.90037842,9.356071226
2015/11/19,-13.41431722,-4.987293728,12.52388297,-1.23545953,14.81497122,9.375382316
2015/11/20,-16.99001897,-5.255278955,12.4247509,-1.518893301,17.03527797,9.775253837
2015/11/23,-17.31392294,-5.283630683,12.24651196,-1.731775575,17.16476328,10.05535988
2015/11/24,-17.39592805,-5.368940707,11.84818362,-1.403688142,17.4324929,9.799945115
2015/11/25,-16.68762019,-5.152283332,11.8958072,-1.75070342,16.99934108,9.461338872
2015/11/27,-16.56648817,-5.179072505,11.32540809,-1.547215214,16.73213798,9.690138252
2015/11/30,-14.03997455,-4.955864789,10.78337218,0.662205276,15.85354274,9.690247338
2015/12/1,-18.05016683,-5.171067528,10.21548642,-1.451338984,17.45267131,10.88499006
2015/12/2,-19.10091073,-5.28891549,9.997790463,-2.850880751,17.65661445,11.23214668
2015/12/3,-19.59186857,-5.537271632,10.28380918,-3.842840851,17.4379764,10.87288184
2015/12/4,-16.97908529,-5.198842312,9.743524246,-1.504704527,17.03250608,12.37644124
2015/12/7,-15.26722543,-5.240875821,9.595978991,0.884576815,17.05064549,12.57296877
2015/12/8,-18.81599191,-5.384076958,9.492337418,0.272716315,18.83052172,12.46483633
2015/12/9,-18.09805654,-5.357544554,9.182311219,1.217993183,18.84976799,12.65167284
2015/12/10,-16.06550088,-5.305839919,9.160852382,3.72510019,18.88279343,13.26304863
2015/12/11,-17.07215426,-4.961577086,9.877886185,3.292726931,19.1074006,12.72610731
2015/12/14,-16.70475096,-4.792793389,8.900203534,3.647325499,18.58733584,12.78416661
2015/12/15,-17.46406914,-4.884695911,7.707964952,3.232339198,18.3213495,13.7182141
2015/12/16,-15.88318644,-4.92155618,7.251376581,4.113513583,17.99382163,14.31749718
2015/12/17,-16.21871852,-4.738276943,6.856462342,3.586179653,18.11152199,13.80014985
2015/12/18,-15.5336331,-4.157787097,6.929785649,3.417710717,17.46024055,13.11910561
2015/12/21,-17.94797183,-4.245629266,6.337607796,1.303090125,17.90252882,13.81291204
2015/12/22,-20.15494206,-4.310401732,5.575999902,-0.848558585,17.61664451,14.85252867
2015/12/23,-20.60837169,-4.251159365,4.857541339,-1.395562638,17.39120123,15.62513194
2015/12/24,-21.37997491,-4.286358711,4.488836797,-2.621746281,16.8149116,15.96688235
2015/12/28,-21.4724442,-4.15109757,3.985431829,-2.62530115,16.78574638,15.95733027
2015/12/29,-22.05995089,-4.223470337,3.151003365,-2.515061857,16.10273188,15.52209426
2015/12/30,-22.26630562,-4.330278915,3.275502469,-3.098179937,15.78115353,15.48294649
2015/12/31,-22.83975085,-4.550921373,3.194601813,-4.43054663,14.59494523,15.21570571
2016/1/4,-23.08416419,-4.442264236,3.328929008,-4.602300575,14.56663842,15.05416278
2016/1/5,-23.70258146,-4.493165227,3.113605868,-5.111820676,14.1751077,15.21204926
2016/1/6,-23.09212796,-4.920683268,4.101166785,-0.285646999,17.20648771,15.70316342
2016/1/7,-23.04436657,-5.242024308,5.809338093,0.455318213,17.03495682,15.16241286
2016/1/8,-21.71654619,-5.08796254,5.750185893,0.804343358,17.27479616,15.05702478
2016/1/11,-14.87772665,-5.293566637,5.894883137,2.322775559,14.61807237,15.48579633
2016/1/12,-8.606963504,-4.6643475,4.96765328,2.223753629,10.72650733,14.1096554
2016/1/13,-5.694953307,-3.646372683,6.220890949,2.462844501,9.135534212,13.4942245
2016/1/14,-4.926354298,-3.523996417,4.597916165,2.141838084,8.685914857,12.2391036
2016/1/15,-1.968470127,-4.408887257,6.567678031,3.154233698,6.272624272,12.33113875
2016/1/19,-0.855845357,-5.165997639,7.060998677,2.877113397,4.667230259,12.9963985
2016/1/20,-0.625850818,-5.410995907,7.443363157,2.859678244,4.014948834,13.05969926
2016/1/21,0.218698146,-5.519620432,7.540130942,0.958768495,-0.121462605,13.36657559
2016/1/22,0.029592994,-5.346500205,6.50388202,1.43690917,1.76976185,13.61699784
2016/1/25,-0.340119305,-7.595079166,9.089175703,0.890380638,-0.455908543,12.37842028
2016/1/26,-0.449713769,-7.056416663,8.262246954,0.502055961,0.197636895,11.16973581
2016/1/27,-0.398658741,-5.529147029,7.31752996,0.339020127,0.705262363,10.18056991
2016/1/28,-0.367716049,-5.713809322,7.506932022,0.41337868,0.61858519,10.22424547
2016/1/29,-0.220566078,-6.01186106,6.362349927,-0.007232766,0.892994993,9.448620468
2016/2/1,-1.205075963,-5.040270525,6.142633308,-0.753436374,0.299983482,8.613452789
2016/2/2,-2.037090174,-7.793831063,7.9755043,-0.453587253,-0.667045297,8.340988477
2016/2/3,-1.042845546,-7.757107803,7.998578048,0.619532505,-0.106764052,8.250076053
2016/2/4,-1.203515636,-6.932466114,7.703857911,0.274316131,0.09800405,7.580029566
2016/2/5,-0.426192143,-4.227711322,6.158938019,0.113544156,0.231792399,5.967788599
2016/2/8,-1.56846838,-5.832038458,7.308970928,0.154129446,-0.521729891,6.64178164
2016/2/9,-3.863157744,-5.027964241,7.473943166,-0.63268025,-0.903379689,6.12531536
2016/2/10,-2.736521614,-5.096311358,6.692076715,-0.341317416,-0.378909098,6.215440752
2016/2/11,-4.173606736,-5.492897302,7.166877978,-0.421326614,-0.735977322,6.472451974
2016/2/12,-4.232774453,-4.915178253,6.301262236,-0.197358945,-0.9562841,6.539366079
2016/2/16,-4.079136962,-4.970000147,5.943332677,0.069817262,-0.022000307,6.020053059
2016/2/17,-4.062820028,-3.802142865,5.692393125,0.095847298,-0.210558764,4.706168819
2016/2/18,-1.62457843,-3.961965159,5.733397033,0.874629807,-0.424770256,4.495645501
2016/2/19,-1.895050917,-4.33973165,5.506589903,0.699239843,-0.222739903,5.713848477
2016/2/22,-1.710245914,-4.417877871,5.401621729,0.574098744,-0.756861029,7.907296339
2016/2/23,-2.188814371,-6.536920454,8.135671045,0.132314866,-1.876409775,5.644632491
2016/2/24,-1.184161782,-6.498297586,9.33138809,0.316816745,0.020227876,4.497326704
2016/2/25,-1.262676767,-6.455584717,8.919908284,0.247644014,0.54679362,4.539359491
2016/2/26,-1.341768808,-6.758799757,8.777183156,0.195868502,0.643321348,5.269847411
2016/2/29,-1.265632367,-7.307762759,8.552893557,0.254114117,0.759314459,6.062571402
2016/3/1,-0.867791343,-7.209475144,7.960303424,0.129730029,0.98844692,6.051107254
2016/3/2,-0.794684927,-7.141389548,7.992435879,0.357575795,1.19705714,6.163448249
2016/3/3,-0.932586236,-6.682175537,8.148898367,0.359495881,1.569109897,6.676404733
2016/3/4,-0.698049174,-5.987107848,8.596702441,2.123776092,2.549888331,6.849882401
2016/3/7,-0.808429198,-6.177915043,8.62425527,0.983647839,2.230470996,6.93091054
2016/3/8,-2.484395993,-7.27473123,8.884574019,-1.05267942,1.240556561,6.73932968
2016/3/9,-2.438586859,-6.442140769,9.118599259,-0.883441954,2.116850449,6.257206571
2016/3/10,-2.269840949,-6.393879733,9.189213634,-0.673762872,2.349457331,6.071995458
2016/3/11,-2.851721008,-5.039517352,9.009363517,0.273294362,2.18616061,6.053904317
2016/3/14,-3.279139363,-5.258901945,8.473889324,-2.854154675,0.176237527,5.733225819
2016/3/15,-3.442717628,-5.066060083,8.393509531,-2.364993265,-0.000729875,5.44008349
2016/3/16,-3.308472802,-5.016062582,8.867071913,-2.96598607,0.350845547,4.067415786
2016/3/17,-3.440437484,-4.763118247,9.159769901,-3.134444983,0.403874731,3.515627502
2016/3/18,-3.025240401,-4.92890486,9.546205706,-2.145815648,-1.861073556,2.61704272
2016/3/21,-3.043656823,-4.965588931,9.562060835,-2.308629593,-1.771949509,2.636104175
2016/3/22,-2.765570937,-5.078389884,9.613023842,-1.994627787,-1.527983076,2.809717763
2016/3/23,-2.716930426,-4.040158171,9.489530587,-1.707182899,-1.284042219,3.483204603
2016/3/24,-1.753223441,-3.766177751,9.706850942,-2.202372221,-0.96646072,3.025576059
2016/3/28,-1.575916676,-3.535712314,9.723159057,-2.454035626,-0.94282974,2.830423178
2016/3/29,-1.642995146,-3.828311101,9.826784967,-2.405185132,-0.899921452,2.584254983
2016/3/30,-1.480781439,-3.812358052,10.08115765,-2.332007201,-1.141332115,2.652691697
2016/3/31,-1.561456932,-3.335944209,10.00386664,-2.112375918,-1.227702532,2.557448664
2016/4/1,-1.294651698,-3.432072644,10.01047698,-1.959827213,-1.322358267,2.688341377
2016/4/4,-1.318314172,-3.858295994,10.39675499,-1.989329449,-1.368420386,1.88581424
2016/4/5,-2.643385065,-2.903619405,10.05604657,-1.404038262,-1.879864291,1.804826153
2016/4/6,-3.786782113,-1.952189549,9.588702596,-0.06777686,-1.544372046,2.188058254
2016/4/7,-5.618377933,-1.658892248,8.854610585,0.255983271,-2.006778326,2.211823862
2016/4/8,-5.240089759,-1.652601018,8.871484702,0.518433475,-3.063891767,2.143535067
2016/4/11,-5.472400012,-1.976359283,8.817763043,0.044000143,-3.267363219,2.452671362
2016/4/12,-4.622728934,-1.456508388,8.604124314,-0.560976793,-3.637646577,2.512224825
2016/4/13,-4.111903925,0.027425872,8.156187846,-1.575258301,-3.650962117,2.28605765
2016/4/14,-4.165100641,-0.292560808,8.727004079,-1.455363918,-4.064793974,2.649686414
2016/4/15,-4.221116248,-0.069243737,8.904611642,-1.208866884,-4.36782542,2.153027535
2016/4/18,-2.804980302,0.336298859,8.646158346,-2.168056578,-3.448443856,2.149777193
